 129  600 186  600 242  600 299  600 355  600  412  600  468  600
 129  632 186  632 242  632 299  632 355  632  412  632  468  632
 129  663 186  663 242  663 299  663 355  663  412  663  468  663
 129  695 186  695 242  695 299  695 355  695  412  695  468  695
 130  814 187  814 244  814 301  814 358  814  415  814  472  814
 130  847 187  847 244  847 301  847 358  847  415  847  472  847
 130  879 187  879 244  879 301  879 358  879  415  879  472  879
 130  912 187  912 244  912 301  912 358  912  415  912  472  912
 130  944 187  944 244  944 301  944 358  944  415  944  472  944
 130  977 187  977 244  977 301  977 358  977  415  977  472  977
 130 1010 187 1010 244 1010 301 1010 358 1010  415 1010  472 1010
 130 1042 187 1042 244 1042 301 1042 358 1042  415 1042  472 1042
 130 1075 187 1075 244 1075 301 1075 358 1075  415 1075  472 1075
 130 1107 187 1107 244 1107 301 1107 358 1107  415 1107  472 1107
 130 1140 187 1140 244 1140 301 1140 358 1140  415 1140  472 1140
 134 1254 191 1254 248 1254 305 1254 361 1254  418 1254  475 1254
 134 1286 191 1286 248 1286 305 1286 361 1286  418 1286  475 1286
 134 1319 191 1319 248 1319 305 1319 361 1319  418 1319  475 1319
 134 1351 191 1351 248 1351 305 1351 361 1351  418 1351  475 1351
 134 1383 191 1383 248 1383 305 1383 361 1383  418 1383  475 1383
 134 1416 191 1416 248 1416 305 1416 361 1416  418 1416  475 1416
 134 1448 191 1448 248 1448 305 1448 361 1448  418 1448  475 1448
 137 1563 194 1563 250 1563 307 1563 364 1563  420 1563  477 1563
 137 1594 194 1594 250 1594 307 1594 364 1594  420 1594  477 1594
 137 1625 194 1625 250 1625 307 1625 364 1625  420 1625  477 1625
 718  211 775  211 831  211 888  211 945  211 1001  211 1058  211
 718  243 775  243 831  243 888  243 945  243 1001  243 1058  243
 718  275 775  275 831  275 888  275 945  275 1001  275 1058  275
 718  307 775  307 831  307 888  307 945  307 1001  307 1058  307
 718  338 775  338 831  338 888  338 945  338 1001  338 1058  338
 718  370 775  370 831  370 888  370 945  370 1001  370 1058  370
 718  402 775  402 831  402 888  402 945  402 1001  402 1058  402
 721  522 778  522 834  522 891  522 947  522 1004  522 1060  522
 721  553 778  553 834  553 891  553 947  553 1004  553 1060  553
 721  584 778  584 834  584 891  584 947  584 1004  584 1060  584
 721  615 778  615 834  615 891  615 947  615 1004  615 1060  615
 723  734 779  734 836  734 892  734 948  734 1005  734 1061  734
 723  766 779  766 836  766 892  766 948  766 1005  766 1061  766
 723  798 779  798 836  798 892  798 948  798 1005  798 1061  798
